chunk_id,paper_id,name,context,measurement,measurement_id,value
10,0,Myanmar,"|              | Based on compilations of harvest data   | Based on compilations of harvest data   | Based on compilations of harvest data   | Based on forest inventory               | Based on forest inventory      | Total range            |
|--------------|-----------------------------------------|-----------------------------------------|-----------------------------------------|-----------------------------------------|--------------------------------|------------------------|
| Country      | Olson et al (1983)/ Gibbs (2006) b      | Houghton (1999)/ DeFries et al (2002)   | IPCC (2006) c                           | Brown (1997)/ Achard et al (2002, 2004) | Gibbs and Brown (2007a, 2007b) | Based on all estimates |
| Myanmar      | 2843                                    | 5182                                    | 4867                                    | 4024                                    | 4754                           | 2377-5182              |
| Nepal        | 246                                     | 393                                     | 369                                     | 337                                     | 334                            | 246-393                |
| Nicaragua    | 930                                     | 1395                                    | 1275                                    | 972                                     | -                              | 930-1395               |
| Nigeria      | 1805                                    | 1377                                    | 3952                                    | 1510                                    | 1278                           | 1278-3952              |
| Panama       | 509                                     | 763                                     | 685                                     | 549                                     | -                              | 509-763                |
| PNG          | 4154                                    | 8037                                    | 7075                                    | 5160                                    | -                              | 4154-8037              |
| Paraguay     | 2831                                    | 3659                                    | 3063                                    | 1087                                    | -                              | 1087-3659              |
| Peru         | 7694                                    | 11 521                                  | 13 241                                  | 2782                                    | -                              | 2782-13241             |
| Philippines  | 869                                     | 1765                                    | 2503                                    | 1213                                    | 1530                           | 765-2503               |
| Rwanda       | 45                                      | 45                                      | 36                                      | 48                                      | 6                              | 6-48                   |
| Senegal      | 171                                     | 141                                     | 228                                     | 153                                     | 86                             | 86-228                 |
| Sierra Leone | 136                                     | 114                                     | 683                                     | 123                                     | 240                            | 114-683                |
| Sri Lanka    | 302                                     | 509                                     | 296                                     | 400                                     | 138                            | 138-509                |
| Surinam      | 1793                                    | 2753                                    | 2330                                    | 663                                     | -                              | 663-2753               |
| Tanzania     | 2716                                    | 2221                                    | 3400                                    | 2409                                    | 1281                           | 1281-3400              |
| Thailand     | 1346                                    | 2489                                    | 2215                                    | 1923                                    | 2104                           | 1346-2489              |
| Togo         | 252                                     | 172                                     | 510                                     | 192                                     | 145                            | 145-510                |
| Uganda       | 536                                     | 434                                     | 1237                                    | 479                                     | 429                            | 429-1237               |
| Venezuela    | 6141                                    | 9202                                    | 7886                                    | 2326                                    | -                              | 2326-9202              |
| Vietnam      | 774                                     | 1632                                    | 1546                                    | 1169                                    | 1642                           | 774-1642               |
| Zambia       | 4295                                    | 3423                                    | 6378                                    | 3725                                    | 1455                           | 1455-6378              |",Total carbon sequestered per annum,8,2377
7,0,Colombia,"|              | Based on compilations of harvest data   | Based on compilations of harvest data   | Based on compilations of harvest data   | Based on forest inventory               | Based on forest inventory      | Total range            |
|--------------|-----------------------------------------|-----------------------------------------|-----------------------------------------|-----------------------------------------|--------------------------------|------------------------|
| Country      | Olson et al (1983)/ Gibbs (2006) b      | Houghton (1999)/ DeFries et al (2002)   | IPCC (2006) c                           | Brown (1997)/ Achard et al (2002, 2004) | Gibbs and Brown (2007a, 2007b) | Based on all estimates |
| Angola       | 7811                                    | 6702                                    | 11 767                                  | 7215                                    | 3557                           | 3557-11767             |
| Bangladesh   | 65                                      | 137                                     | 93                                      | 92                                      | 158                            | 65-158                 |
| Belize       | 198                                     | 318                                     | 261                                     | 218                                     | -                              | 198-318                |
| Benin        | 410                                     | 260                                     | 792                                     | 292                                     | 262                            | 260-792                |
| Bhutan       | 13                                      | 29                                      | 121                                     | 22                                      | 2                              | 1-121                  |
| Bolivia      | 6542                                    | 9541                                    | 9189                                    | 2469                                    | -                              | 2469-9189              |
| Brazil       | 54 697                                  | 81 087                                  | 82 510                                  | 82 699                                  | -                              | 54697-82699            |
| Brunei       | 58                                      | 112                                     | 115                                     | 72                                      | 40                             | 40-115                 |
| Burundi      | 69                                      | 51                                      | 43                                      | 55                                      | 9                              | 9-69                   |
| Cambodia     | 1008                                    | 1800                                    | 1222                                    | 1334                                    | 1914                           | 957-1914               |
| Cameroon     | 3721                                    | 3454                                    | 6138                                    | 3695                                    | 3622                           | 3454-6138              |
| CAR          | 4059                                    | 3176                                    | 7405                                    | 3524                                    | 4096                           | 3176-7405              |
| Colombia     | 6737                                    | 10 085                                  | 11 467                                  | 2529                                    | -                              | 2529-11467             |
| Congo        | 3458                                    | 3549                                    | 5472                                    | 3740                                    | 4739                           | 3458-5472              |
| Costa Rica   | 471                                     | 704                                     | 593                                     | 493                                     | -                              | 471-704                |
| D.R. Congo   | 22 986                                  | 22 657                                  | 36 672                                  | 24 020                                  | 20 416                         | 20416-36 672           |
| Ecuador      | 941                                     | 1379                                    | 2071                                    | 351                                     | -                              | 351-2071               |
| El Salvador  | 105                                     | 153                                     | 108                                     | 117                                     | -                              | 105-153                |
| Eq. Guinea   | 304                                     | 313                                     | 474                                     | 330                                     | 268                            | 268-474                |
| Ethiopia     | 183                                     | 153                                     | 553                                     | 168                                     | 867                            | 153-867                |
| Fr. Guiana   | 1097                                    | 1683                                    | 1588                                    | 403                                     | -                              | 403-1683               |
| Gabon        | 3063                                    | 3150                                    | 4742                                    | 3315                                    | 4114                           | 3063-4742              |
| Gambia,      | 7                                       | 7                                       | 11                                      | 7                                       | 6                              | 6-11                   |
| The Ghana    | 880                                     | 612                                     | 2172                                    | 678                                     | 609                            | 609-2172               |",Total carbon sequestered per annum,10,117
7,0,Congo,"|              | Based on compilations of harvest data   | Based on compilations of harvest data   | Based on compilations of harvest data   | Based on forest inventory               | Based on forest inventory      | Total range            |
|--------------|-----------------------------------------|-----------------------------------------|-----------------------------------------|-----------------------------------------|--------------------------------|------------------------|
| Country      | Olson et al (1983)/ Gibbs (2006) b      | Houghton (1999)/ DeFries et al (2002)   | IPCC (2006) c                           | Brown (1997)/ Achard et al (2002, 2004) | Gibbs and Brown (2007a, 2007b) | Based on all estimates |
| Angola       | 7811                                    | 6702                                    | 11 767                                  | 7215                                    | 3557                           | 3557-11767             |
| Bangladesh   | 65                                      | 137                                     | 93                                      | 92                                      | 158                            | 65-158                 |
| Belize       | 198                                     | 318                                     | 261                                     | 218                                     | -                              | 198-318                |
| Benin        | 410                                     | 260                                     | 792                                     | 292                                     | 262                            | 260-792                |
| Bhutan       | 13                                      | 29                                      | 121                                     | 22                                      | 2                              | 1-121                  |
| Bolivia      | 6542                                    | 9541                                    | 9189                                    | 2469                                    | -                              | 2469-9189              |
| Brazil       | 54 697                                  | 81 087                                  | 82 510                                  | 82 699                                  | -                              | 54697-82699            |
| Brunei       | 58                                      | 112                                     | 115                                     | 72                                      | 40                             | 40-115                 |
| Burundi      | 69                                      | 51                                      | 43                                      | 55                                      | 9                              | 9-69                   |
| Cambodia     | 1008                                    | 1800                                    | 1222                                    | 1334                                    | 1914                           | 957-1914               |
| Cameroon     | 3721                                    | 3454                                    | 6138                                    | 3695                                    | 3622                           | 3454-6138              |
| CAR          | 4059                                    | 3176                                    | 7405                                    | 3524                                    | 4096                           | 3176-7405              |
| Colombia     | 6737                                    | 10 085                                  | 11 467                                  | 2529                                    | -                              | 2529-11467             |
| Congo        | 3458                                    | 3549                                    | 5472                                    | 3740                                    | 4739                           | 3458-5472              |
| Costa Rica   | 471                                     | 704                                     | 593                                     | 493                                     | -                              | 471-704                |
| D.R. Congo   | 22 986                                  | 22 657                                  | 36 672                                  | 24 020                                  | 20 416                         | 20416-36 672           |
| Ecuador      | 941                                     | 1379                                    | 2071                                    | 351                                     | -                              | 351-2071               |
| El Salvador  | 105                                     | 153                                     | 108                                     | 117                                     | -                              | 105-153                |
| Eq. Guinea   | 304                                     | 313                                     | 474                                     | 330                                     | 268                            | 268-474                |
| Ethiopia     | 183                                     | 153                                     | 553                                     | 168                                     | 867                            | 153-867                |
| Fr. Guiana   | 1097                                    | 1683                                    | 1588                                    | 403                                     | -                              | 403-1683               |
| Gabon        | 3063                                    | 3150                                    | 4742                                    | 3315                                    | 4114                           | 3063-4742              |
| Gambia,      | 7                                       | 7                                       | 11                                      | 7                                       | 6                              | 6-11                   |
| The Ghana    | 880                                     | 612                                     | 2172                                    | 678                                     | 609                            | 609-2172               |",Total carbon sequestered per annum,16,5472
0,0,Central,"Environ. Res. Lett. 2 (2007) 045023 (13pp)

## Monitoring and estimating tropical forest carbon stocks: making REDD a reality

Holly K Gibbs 1 , Sandra Brown 2 , John O Niles 3 and Jonathan A Foley 1

- 1 Center for Sustainability and the Global Environment (SAGE), Nelson Institute for Environmental Studies, University of Wisconsin, 1710 University Avenue, Madison, WI 53726, USA

2 Winrock International, Ecosystem Services Unit, 1621 N Kent Street, Suite 1200, Arlington,

VA 22207, USA

3 Carbon Conservation, 1226 E Mason Street, Santa Barbara, CA 93103, USA

Received 14 August 2007

Accepted for publication 1 November 2007 Published 5 December 2007

Online at stacks.iop.org/ERL/2/045023

## Abstract

Reducing carbon emissions from deforestation and degradation in developing countries is of central importance in efforts to combat climate change. Key scientific challenges must be addressed to prevent any policy roadblocks. Foremost among the challenges is quantifying nations' carbon emissions from deforestation and forest degradation, which requires information on forest clearing and carbon storage. Here we review a range of methods available to estimate national-level forest carbon stocks in developing countries. While there are no practical methods to directly measure all forest carbon stocks across a country, both ground-based and remote-sensing measurements of forest attributes can be converted into estimates of national carbon stocks using allometric relationships. Here we synthesize, map and update prominent forest biomass carbon databases to create the first complete set of national-level forest carbon stock estimates. These forest carbon estimates expand on the default values recommended by the Intergovernmental Panel on Climate Change's National Greenhouse Gas Inventory Guidelines and provide a range of globally consistent estimates.

Keywords: deforestation, tropical forests, forest biomass, carbon stocks, emissions, forest inventory, UNFCCC, REDD, LULUCF, avoided deforestation

## 1. Introduction

Forests sequester and store more carbon than any other terrestrial ecosystem and are an important natural 'brake' on climate change. When forests are cleared or degraded, their stored carbon is released into the atmosphere as carbon dioxide (CO2). Tropical deforestation is estimated to have released of the order of 1-2 billion tonnes of carbon per year during the 1990s, roughly 15-25% of annual global greenhouse gas emissions (Malhi and Grace 2000, Fearnside and Laurance 2003, 2004, Houghton 2005). The largest source of greenhouse gas emissions in most tropical countries is from deforestation and forest degradation. In Africa, for example, deforestation accounts for nearly 70% of total emissions (FAO 2005). Moreover, clearing tropical forests also destroys globally important carbon sinks that are currently sequestering

CO2 from the atmosphere and are critical to future climate stabilization (Stephens et al 2007).

Despite the importance of avoiding deforestation and associated emissions, developing countries have had few economic or policy incentives to reduce emissions from landuse change (Santilli et al 2005). 'Avoided deforestation' projects were excluded from the 2008-2012 first commitment period of the Kyoto Protocol because of concerns about diluting fossil fuel reductions, sovereignty and methods to measure emissions reductions (Niles 2002, Gullison et al 2007). More recently the importance of including emissions reductions from tropical deforestation in future climate change policy has grown. The United Nations Framework Convention on Climate Change recently agreed to study and consider a new initiative, led by forest-rich developing countries, that calls for economic incentives to help facilitate reductions

in emissions from deforestation in developing countries (REDD).

The REDD concept is-at its core-a proposal to provide financial incentives to help developing countries voluntarily reduce national deforestation rates and associated carbon emissions below a baseline (based either on a historical reference case or future projection). Countries that demonstrate emissions reductions may be able to sell those carbon credits on the international carbon market or elsewhere. These emissions reductions could simultaneously combat climate change, conserve biodiversity and protect other ecosystem goods and services.",Total carbon sequestered per annum,18,1
7,0,Brunei,"|              | Based on compilations of harvest data   | Based on compilations of harvest data   | Based on compilations of harvest data   | Based on forest inventory               | Based on forest inventory      | Total range            |
|--------------|-----------------------------------------|-----------------------------------------|-----------------------------------------|-----------------------------------------|--------------------------------|------------------------|
| Country      | Olson et al (1983)/ Gibbs (2006) b      | Houghton (1999)/ DeFries et al (2002)   | IPCC (2006) c                           | Brown (1997)/ Achard et al (2002, 2004) | Gibbs and Brown (2007a, 2007b) | Based on all estimates |
| Angola       | 7811                                    | 6702                                    | 11 767                                  | 7215                                    | 3557                           | 3557-11767             |
| Bangladesh   | 65                                      | 137                                     | 93                                      | 92                                      | 158                            | 65-158                 |
| Belize       | 198                                     | 318                                     | 261                                     | 218                                     | -                              | 198-318                |
| Benin        | 410                                     | 260                                     | 792                                     | 292                                     | 262                            | 260-792                |
| Bhutan       | 13                                      | 29                                      | 121                                     | 22                                      | 2                              | 1-121                  |
| Bolivia      | 6542                                    | 9541                                    | 9189                                    | 2469                                    | -                              | 2469-9189              |
| Brazil       | 54 697                                  | 81 087                                  | 82 510                                  | 82 699                                  | -                              | 54697-82699            |
| Brunei       | 58                                      | 112                                     | 115                                     | 72                                      | 40                             | 40-115                 |
| Burundi      | 69                                      | 51                                      | 43                                      | 55                                      | 9                              | 9-69                   |
| Cambodia     | 1008                                    | 1800                                    | 1222                                    | 1334                                    | 1914                           | 957-1914               |
| Cameroon     | 3721                                    | 3454                                    | 6138                                    | 3695                                    | 3622                           | 3454-6138              |
| CAR          | 4059                                    | 3176                                    | 7405                                    | 3524                                    | 4096                           | 3176-7405              |
| Colombia     | 6737                                    | 10 085                                  | 11 467                                  | 2529                                    | -                              | 2529-11467             |
| Congo        | 3458                                    | 3549                                    | 5472                                    | 3740                                    | 4739                           | 3458-5472              |
| Costa Rica   | 471                                     | 704                                     | 593                                     | 493                                     | -                              | 471-704                |
| D.R. Congo   | 22 986                                  | 22 657                                  | 36 672                                  | 24 020                                  | 20 416                         | 20416-36 672           |
| Ecuador      | 941                                     | 1379                                    | 2071                                    | 351                                     | -                              | 351-2071               |
| El Salvador  | 105                                     | 153                                     | 108                                     | 117                                     | -                              | 105-153                |
| Eq. Guinea   | 304                                     | 313                                     | 474                                     | 330                                     | 268                            | 268-474                |
| Ethiopia     | 183                                     | 153                                     | 553                                     | 168                                     | 867                            | 153-867                |
| Fr. Guiana   | 1097                                    | 1683                                    | 1588                                    | 403                                     | -                              | 403-1683               |
| Gabon        | 3063                                    | 3150                                    | 4742                                    | 3315                                    | 4114                           | 3063-4742              |
| Gambia,      | 7                                       | 7                                       | 11                                      | 7                                       | 6                              | 6-11                   |
| The Ghana    | 880                                     | 612                                     | 2172                                    | 678                                     | 609                            | 609-2172               |",Total carbon sequestered per annum,28,40
10,0,PNG,"|              | Based on compilations of harvest data   | Based on compilations of harvest data   | Based on compilations of harvest data   | Based on forest inventory               | Based on forest inventory      | Total range            |
|--------------|-----------------------------------------|-----------------------------------------|-----------------------------------------|-----------------------------------------|--------------------------------|------------------------|
| Country      | Olson et al (1983)/ Gibbs (2006) b      | Houghton (1999)/ DeFries et al (2002)   | IPCC (2006) c                           | Brown (1997)/ Achard et al (2002, 2004) | Gibbs and Brown (2007a, 2007b) | Based on all estimates |
| Myanmar      | 2843                                    | 5182                                    | 4867                                    | 4024                                    | 4754                           | 2377-5182              |
| Nepal        | 246                                     | 393                                     | 369                                     | 337                                     | 334                            | 246-393                |
| Nicaragua    | 930                                     | 1395                                    | 1275                                    | 972                                     | -                              | 930-1395               |
| Nigeria      | 1805                                    | 1377                                    | 3952                                    | 1510                                    | 1278                           | 1278-3952              |
| Panama       | 509                                     | 763                                     | 685                                     | 549                                     | -                              | 509-763                |
| PNG          | 4154                                    | 8037                                    | 7075                                    | 5160                                    | -                              | 4154-8037              |
| Paraguay     | 2831                                    | 3659                                    | 3063                                    | 1087                                    | -                              | 1087-3659              |
| Peru         | 7694                                    | 11 521                                  | 13 241                                  | 2782                                    | -                              | 2782-13241             |
| Philippines  | 869                                     | 1765                                    | 2503                                    | 1213                                    | 1530                           | 765-2503               |
| Rwanda       | 45                                      | 45                                      | 36                                      | 48                                      | 6                              | 6-48                   |
| Senegal      | 171                                     | 141                                     | 228                                     | 153                                     | 86                             | 86-228                 |
| Sierra Leone | 136                                     | 114                                     | 683                                     | 123                                     | 240                            | 114-683                |
| Sri Lanka    | 302                                     | 509                                     | 296                                     | 400                                     | 138                            | 138-509                |
| Surinam      | 1793                                    | 2753                                    | 2330                                    | 663                                     | -                              | 663-2753               |
| Tanzania     | 2716                                    | 2221                                    | 3400                                    | 2409                                    | 1281                           | 1281-3400              |
| Thailand     | 1346                                    | 2489                                    | 2215                                    | 1923                                    | 2104                           | 1346-2489              |
| Togo         | 252                                     | 172                                     | 510                                     | 192                                     | 145                            | 145-510                |
| Uganda       | 536                                     | 434                                     | 1237                                    | 479                                     | 429                            | 429-1237               |
| Venezuela    | 6141                                    | 9202                                    | 7886                                    | 2326                                    | -                              | 2326-9202              |
| Vietnam      | 774                                     | 1632                                    | 1546                                    | 1169                                    | 1642                           | 774-1642               |
| Zambia       | 4295                                    | 3423                                    | 6378                                    | 3725                                    | 1455                           | 1455-6378              |",Total carbon sequestered per annum,30,4154
10,0,Vietnam,"|              | Based on compilations of harvest data   | Based on compilations of harvest data   | Based on compilations of harvest data   | Based on forest inventory               | Based on forest inventory      | Total range            |
|--------------|-----------------------------------------|-----------------------------------------|-----------------------------------------|-----------------------------------------|--------------------------------|------------------------|
| Country      | Olson et al (1983)/ Gibbs (2006) b      | Houghton (1999)/ DeFries et al (2002)   | IPCC (2006) c                           | Brown (1997)/ Achard et al (2002, 2004) | Gibbs and Brown (2007a, 2007b) | Based on all estimates |
| Myanmar      | 2843                                    | 5182                                    | 4867                                    | 4024                                    | 4754                           | 2377-5182              |
| Nepal        | 246                                     | 393                                     | 369                                     | 337                                     | 334                            | 246-393                |
| Nicaragua    | 930                                     | 1395                                    | 1275                                    | 972                                     | -                              | 930-1395               |
| Nigeria      | 1805                                    | 1377                                    | 3952                                    | 1510                                    | 1278                           | 1278-3952              |
| Panama       | 509                                     | 763                                     | 685                                     | 549                                     | -                              | 509-763                |
| PNG          | 4154                                    | 8037                                    | 7075                                    | 5160                                    | -                              | 4154-8037              |
| Paraguay     | 2831                                    | 3659                                    | 3063                                    | 1087                                    | -                              | 1087-3659              |
| Peru         | 7694                                    | 11 521                                  | 13 241                                  | 2782                                    | -                              | 2782-13241             |
| Philippines  | 869                                     | 1765                                    | 2503                                    | 1213                                    | 1530                           | 765-2503               |
| Rwanda       | 45                                      | 45                                      | 36                                      | 48                                      | 6                              | 6-48                   |
| Senegal      | 171                                     | 141                                     | 228                                     | 153                                     | 86                             | 86-228                 |
| Sierra Leone | 136                                     | 114                                     | 683                                     | 123                                     | 240                            | 114-683                |
| Sri Lanka    | 302                                     | 509                                     | 296                                     | 400                                     | 138                            | 138-509                |
| Surinam      | 1793                                    | 2753                                    | 2330                                    | 663                                     | -                              | 663-2753               |
| Tanzania     | 2716                                    | 2221                                    | 3400                                    | 2409                                    | 1281                           | 1281-3400              |
| Thailand     | 1346                                    | 2489                                    | 2215                                    | 1923                                    | 2104                           | 1346-2489              |
| Togo         | 252                                     | 172                                     | 510                                     | 192                                     | 145                            | 145-510                |
| Uganda       | 536                                     | 434                                     | 1237                                    | 479                                     | 429                            | 429-1237               |
| Venezuela    | 6141                                    | 9202                                    | 7886                                    | 2326                                    | -                              | 2326-9202              |
| Vietnam      | 774                                     | 1632                                    | 1546                                    | 1169                                    | 1642                           | 774-1642               |
| Zambia       | 4295                                    | 3423                                    | 6378                                    | 3725                                    | 1455                           | 1455-6378              |",Total carbon sequestered per annum,42,774
7,0,El Salvador,"|              | Based on compilations of harvest data   | Based on compilations of harvest data   | Based on compilations of harvest data   | Based on forest inventory               | Based on forest inventory      | Total range            |
|--------------|-----------------------------------------|-----------------------------------------|-----------------------------------------|-----------------------------------------|--------------------------------|------------------------|
| Country      | Olson et al (1983)/ Gibbs (2006) b      | Houghton (1999)/ DeFries et al (2002)   | IPCC (2006) c                           | Brown (1997)/ Achard et al (2002, 2004) | Gibbs and Brown (2007a, 2007b) | Based on all estimates |
| Angola       | 7811                                    | 6702                                    | 11 767                                  | 7215                                    | 3557                           | 3557-11767             |
| Bangladesh   | 65                                      | 137                                     | 93                                      | 92                                      | 158                            | 65-158                 |
| Belize       | 198                                     | 318                                     | 261                                     | 218                                     | -                              | 198-318                |
| Benin        | 410                                     | 260                                     | 792                                     | 292                                     | 262                            | 260-792                |
| Bhutan       | 13                                      | 29                                      | 121                                     | 22                                      | 2                              | 1-121                  |
| Bolivia      | 6542                                    | 9541                                    | 9189                                    | 2469                                    | -                              | 2469-9189              |
| Brazil       | 54 697                                  | 81 087                                  | 82 510                                  | 82 699                                  | -                              | 54697-82699            |
| Brunei       | 58                                      | 112                                     | 115                                     | 72                                      | 40                             | 40-115                 |
| Burundi      | 69                                      | 51                                      | 43                                      | 55                                      | 9                              | 9-69                   |
| Cambodia     | 1008                                    | 1800                                    | 1222                                    | 1334                                    | 1914                           | 957-1914               |
| Cameroon     | 3721                                    | 3454                                    | 6138                                    | 3695                                    | 3622                           | 3454-6138              |
| CAR          | 4059                                    | 3176                                    | 7405                                    | 3524                                    | 4096                           | 3176-7405              |
| Colombia     | 6737                                    | 10 085                                  | 11 467                                  | 2529                                    | -                              | 2529-11467             |
| Congo        | 3458                                    | 3549                                    | 5472                                    | 3740                                    | 4739                           | 3458-5472              |
| Costa Rica   | 471                                     | 704                                     | 593                                     | 493                                     | -                              | 471-704                |
| D.R. Congo   | 22 986                                  | 22 657                                  | 36 672                                  | 24 020                                  | 20 416                         | 20416-36 672           |
| Ecuador      | 941                                     | 1379                                    | 2071                                    | 351                                     | -                              | 351-2071               |
| El Salvador  | 105                                     | 153                                     | 108                                     | 117                                     | -                              | 105-153                |
| Eq. Guinea   | 304                                     | 313                                     | 474                                     | 330                                     | 268                            | 268-474                |
| Ethiopia     | 183                                     | 153                                     | 553                                     | 168                                     | 867                            | 153-867                |
| Fr. Guiana   | 1097                                    | 1683                                    | 1588                                    | 403                                     | -                              | 403-1683               |
| Gabon        | 3063                                    | 3150                                    | 4742                                    | 3315                                    | 4114                           | 3063-4742              |
| Gambia,      | 7                                       | 7                                       | 11                                      | 7                                       | 6                              | 6-11                   |
| The Ghana    | 880                                     | 612                                     | 2172                                    | 678                                     | 609                            | 609-2172               |",Total carbon sequestered per annum,44,105
